UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
476887,4,R,120,Z,0,R,120,A,,A,,R,116,R,23,Z,0,R,23,A,,A,,R,3,R,0,Z,0,R,0,A,,A,,R,0,R,143,R,0,R,143,A,,A,,R,119
476896,4,R,35,Z,0,R,35,A,,A,,R,10,R,14,Z,0,R,14,A,,A,,R,6,R,6,Z,0,R,6,A,,A,,R,2,R,55,R,0,R,55,A,,A,,R,18
476902,4,R,9,Z,0,R,9,A,,A,,R,6,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,9,R,0,R,9,A,,A,,R,6
476911,4,R,79,R,0,R,79,A,,A,,R,75,R,34,R,2,R,32,A,,A,,R,21,R,42,R,1,R,41,A,,A,,R,2,R,155,R,3,R,152,A,,A,,R,98
476939,4,R,117,R,1,R,116,A,,A,,R,116,R,16,R,0,R,16,A,,A,,R,16,R,38,R,0,R,38,A,,A,,R,6,R,171,R,1,R,170,A,,A,,R,138
476948,4,R,293,Z,0,R,293,A,,A,,R,112,R,54,Z,0,R,54,A,,A,,R,42,R,111,Z,0,R,111,A,,A,,R,100,R,458,R,0,R,458,A,,A,,R,254
476957,4,R,9,Z,0,R,9,A,,A,,R,9,R,0,Z,0,R,0,A,,A,,R,0,R,4,Z,0,R,4,A,,A,,R,2,R,13,R,0,R,13,A,,A,,R,11
476966,4,R,120,Z,0,R,120,A,,A,,R,56,R,23,Z,0,R,23,A,,A,,R,20,R,53,Z,0,R,53,A,,A,,R,47,R,196,R,0,R,196,A,,A,,R,123
476984,4,R,29,Z,0,R,29,A,,A,,R,15,R,11,Z,0,R,11,A,,A,,R,7,R,7,Z,0,R,7,A,,A,,R,6,R,47,R,0,R,47,A,,A,,R,28
476993,4,R,29,Z,0,R,29,A,,A,,R,26,R,11,Z,0,R,11,A,,A,,R,10,R,21,Z,0,R,21,A,,A,,R,18,R,61,R,0,R,61,A,,A,,R,54
477002,4,R,9,Z,0,R,9,A,,A,,R,5,R,2,Z,0,R,2,A,,A,,R,1,R,11,Z,0,R,11,A,,A,,R,8,R,22,R,0,R,22,A,,A,,R,14
477039,1,R,2,R,0,R,2,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,3,R,0,R,0,R,0
477039,2,R,2,Z,0,R,2,Z,0,R,0,Z,0,R,1,Z,0,R,1,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,0,Z,0,R,3,R,0,R,3,R,0,R,0,R,0
477950,1,R,56,R,0,R,56,R,1,R,14,R,15,R,4,R,0,R,4,R,0,R,2,R,2,R,11,R,0,R,11,R,0,R,0,R,0,R,71,R,0,R,71,R,1,R,16,R,17
477950,2,R,14,Z,0,R,14,R,1,R,0,R,1,R,1,Z,0,R,1,R,0,R,0,R,0,R,3,Z,0,R,3,R,0,R,0,R,0,R,18,R,0,R,18,R,1,R,0,R,1
477950,3,R,42,Z,0,R,42,Z,0,R,14,R,14,R,3,Z,0,R,3,Z,0,R,2,R,2,R,8,Z,0,R,8,Z,0,R,0,R,0,R,53,R,0,R,53,R,0,R,16,R,16
